useeio_code,useeio_name,ceda_code,ceda_name
1111A0,"Fresh soybeans, canola, flaxseeds, and other oilseeds",1111A0,Oilseed farming
1111B0,"Fresh wheat, corn, rice, and other grains",1111B0,Grain farming
111200,"Fresh vegetables, melons, and potatoes",111200,Vegetable and melon farming
111300,Fresh fruits and tree nuts,111300,Fruit and tree nut farming
111400,"Greenhouse crops, mushrooms, nurseries, and flowers",111400,"Greenhouse, nursery, and floriculture production"
111900,"Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops",111900,Other crop farming
112120,Dairies,112120,Dairy cattle and milk production
1121A0,Cattle ranches and feedlots,1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming"
112300,Poultry farms,112300,Poultry and egg production
112A00,Animal farms and aquaculture ponds (except cattle and poultry),112A00,"Animal production, except cattle and poultry and eggs"
113000,Timber and raw forest products,113000,Forestry and logging
114000,Wild-caught fish and game,114000,"Fishing, hunting and trapping"
115000,Agriculture and forestry support,115000,Support activities for agriculture and forestry
211000,Unrefined oil and gas,211000,Oil and gas extraction
212100,Coal,212100,Coal mining
212230,"Copper, nickel, lead, and zinc",212230,"Copper, nickel, lead, and zinc mining"
2122A0,"Iron, gold, silver, and other metal ores",2122A0,"Iron, gold, silver, and other metal ore mining"
212310,Dimensional stone,212310,Stone mining and quarrying
2123A0,"Sand, gravel, clay, phosphate, other nonmetallic minerals",2123A0,Other nonmetallic mineral mining and quarrying
213111,Well drilling,213111,Drilling oil and gas wells
21311A,Other support activities for mining,21311A,Other support activities for mining
221100,Electricity,221100,"Electric power generation, transmission, and distribution"
221200,Natural gas,221200,Natural gas distribution
221300,Drinking water and wastewater treatment,221300,"Water, sewage and other systems"
233210,Health care buildings,233210,Health care structures
233262,Schools and vocational buildings,233262,Educational and vocational structures
230301,Nonresidential building repair and maintanence,230301,Nonresidential maintenance and repair
230302,Residential building repair and maintanence,230302,Residential maintenance and repair
2332A0,"Commercial structures, including farm structures",2332A0,Office and commercial structures
233412,Multifamily homes,233412,Multifamily residential structures
2334A0,Other residential structures,2334A0,Other residential structures
233230,Manufacturing buildings,233230,Manufacturing structures
2332D0,Other nonresidential structures,2332D0,Other nonresidential structures
233240,Utilities buildings and infrastructure,233240,Power and communication structures
233411,Single-family homes,233411,Single-family residential structures
2332C0,"Highways, streets, and bridges",2332C0,Transportation structures and highways and streets
321100,Lumber and treated lumber,321100,Sawmills and wood preservation
321200,Plywood and veneer,321200,"Veneer, plywood, and engineered wood product manufacturing"
321910,"Wooden windows, door, and flooring",321910,Millwork
3219A0,"Veneer, plywood, and engineered wood",3219A0,All other wood product manufacturing
327100,Clay and ceramic products,327100,Clay product and refractory manufacturing
327200,Glass and glass products,327200,Glass and glass product manufacturing
327310,Cement,327310,Cement manufacturing
327320,Ready-mix concrete,327320,Ready-mix concrete manufacturing
327330,"Concrete pipe, bricks, and blocks",327330,"Concrete pipe, brick, and block manufacturing"
327390,Other concrete products,327390,Other concrete product manufacturing
327400,Lime and gypsum products,327400,Lime and gypsum product manufacturing
327910,Abrasive products,327910,Abrasive product manufacturing
327991,Cut stone and stone products,327991,Cut stone and stone product manufacturing
327992,Ground or treated minerals and earth,327992,Ground or treated mineral and earth manufacturing
327993,Mineral wool,327993,Mineral wool manufacturing
327999,Other nonmetallic mineral products,327999,Miscellaneous nonmetallic mineral products
331110,"Primary iron, steel, and ferroalloy products",331110,Iron and steel mills and ferroalloy manufacturing
331200,Secondary steel products,331200,Steel product manufacturing from purchased steel
331313,Primary aluminum,331313,Aluminum product manufacturing from purchased aluminum + Alumina refining and primary aluminum production + Secondary smelting and alloying of aluminum
33131B,Secondary aluminum,331410,Nonferrous Metal (except Aluminum) Smelting and Refining
331410,"Copper, gold and silver concentrates",331420,"Copper rolling, drawing, extruding and alloying"
331420,Secondary copper products,331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying"
331490,Other secondary nonferrous metal products,331510,Ferrous metal foundries
331510,Cast iron and steel,331520,Nonferrous metal foundries
331520,Nonferrous metal casts,332114,Custom roll forming
332114,Custom metal rolls,33211A,"All other forging, stamping, and sintering"
33211A,"All other forging, stamping, and sintering",332119,"Metal crown, closure, and other metal stamping (except automotive)"
332119,"Lids, jars, bottle caps, other metal closures and crowns",332200,Cutlery and handtool manufacturing
332200,Cutlery and handtools,332310,Plate work and fabricated structural product manufacturing
332310,Metal structural products,332320,Ornamental and architectural metal products manufacturing
332320,"Metal windows, doors, and architectural products",332410,Power boiler and heat exchanger manufacturing
332410,Power boilers and heat exchangers,332420,Metal tank (heavy gauge) manufacturing
332420,Heavy gauge metal tanks,332430,"Metal can, box, and other metal container (light gauge) manufacturing"
332430,"Light gauge metal cans, boxes, and containers",332500,Hardware manufacturing
332500,"Metal hinges, keys, lock, and other hardware",332600,Spring and wire product manufacturing
332600,Springs and wires,332710,Machine shops
