Rank,Description,AttributionSources,a_sets,CumulativeImpact
1,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),BEA_Detail_Supply,electric_power,22.9
2,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,BEA_Detail_Use_SUT,petroleum_fuels,45.6
3,"Table A-5: 2023 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type
",EIA_MECS_Energy,"coal_manufacturing_co2, natural_gas_manufacturing",54.5
4,"Table A-5: 2023 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type
",BEA_Detail_Use_SUT,"non_manufacturing_coal, non_manufacturing_natural_gas, petroleum",62.4
5,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Direct,"direct, electricity_transmission",68.8
6,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Direct,"direct_ng, direct_petroleum",74.8
7,"Table A-5: 2023 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type
",Direct,direct_attribution,79.7
8,Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),Direct,,82.8
9,Table 3-64:  CH4 Emissions from Natural Gas Systems (MMT CO2 Eq.),Direct,,85.4
10,Table 5-18:  Direct N2O Emissions from Agricultural Soils by Land Use Type and Nitrogen Input Type (MMT CO2 Eq.),BEA_Detail_Use_SUT,fertilizer_use,87.2
11,"Table 4-124:  Emissions of HFCs, PFCs, and CO2 from ODS Substitutes (MMT CO2 Eq.) by Sector",BEA_Detail_Use_SUT,"air_conditioning, foams, refrigerants",88.9
12,"Table 3-25:  2023 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",EIA_MECS_Energy,"natural_gas_neu, petroleum_neu",90.4
13,Table 5-18:  Direct N2O Emissions from Agricultural Soils by Land Use Type and Nitrogen Input Type (MMT CO2 Eq.),USDA_CoA_Cropland_NAICS,pasture,91.8
14,Table 5-7:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.),Direct,,93.1
15,Table 5-18:  Direct N2O Emissions from Agricultural Soils by Land Use Type and Nitrogen Input Type (MMT CO2 Eq.),USDA_CoA_Cropland,cropland,94.3
16,"Table 4-124:  Emissions of HFCs, PFCs, and CO2 from ODS Substitutes (MMT CO2 Eq.) by Sector",Direct,households,95.3
17,Table 3-45:  CH4 Emissions from Petroleum Systems (MMT CO2 Eq.),Direct,,95.9
18,Table 3-66:  CO2 Emissions from Natural Gas Systems (MMT),Direct,,96.5
19,Table A-90: HFC Emissions from Transportation Sources (MMT CO2 Eq.),Direct,,97.1
20,Table 4-55: CO2 and CH4 Emissions from Petrochemical Production (MMT CO2 Eq.),Direct,,97.5
21,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),BEA_Detail_Use_SUT,"carbonate_use, liming, nitrous_oxide_use, urea, urea_fertilizer",98.0
22,Table 5-19:  Indirect N2O Emissions from Agricultural Soils (MMT CO2 Eq.),BEA_Detail_Use_SUT,fertilizer_use,98.4
23,Table 3-47:  CO2 Emissions from Petroleum Systems (MMT CO2),Direct,,98.8
24,Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),BEA_Detail_Supply,electric_power,99.0
25,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),BEA_Detail_Use_SUT,"alt_fuel_on_road, construction_and_mining, farm_non_road, other_non_road, petroleum_fuels_diesel, petroleum_fuels_gasoline",99.3
26,Table 5-19:  Indirect N2O Emissions from Agricultural Soils (MMT CO2 Eq.),USDA_CoA_Cropland_NAICS,pasture,99.4
27,"Table 3-25:  2023 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",BEA_Detail_Use_SUT,transportation_lubricants,99.5
28,"Table 3-25:  2023 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",Direct,coal,99.6
