"Detail_Use_2017_PRO_Com_Code","Detail_Use_2017_PRO_334111"," ","Detail_Use_2017_PUR_Com_Code","Detail_Use_2017_PUR_334111"," ","Summary_Use_2017_PRO_Com_Code","Summary_Use_2017_PRO_61"," ","Summary_Use_2018_PRO_Com_Code","Summary_Use_2018_PRO_61"," ","Summary_Use_2019_PRO_Com_Code","Summary_Use_2019_PRO_61"," ","Summary_Use_2020_PRO_Com_Code","Summary_Use_2020_PRO_212"," ","Summary_Use_2021_PRO_Com_Code","Summary_Use_2021_PRO_212"," ","Summary_Use_2022_PRO_Com_Code","Summary_Use_2022_PRO_61"," "
"T008","2.1506942092787","","T008","2.1506942092787","","Total Industry Output","1.26758011269144","","Total Industry Output","1.26746818509244","","Total Industry Output","1.25949982906882","","Total Industry Output","1.25213979566732","","Total Industry Output","1.22056524729569","","Total Industry Output","1.23190794322812",""
"531ORE","Inf","","531ORE","Inf","","483","13.7777777777778","","483","21.4615384615385","","483","22.8","","V001","1.6046511627907","","V001","1.60232458028412","","483","3.82608695652174",""
"541100","Inf","","541100","Inf","","23","6.74576271186441","","23","6.50680272108844","","23","6.35331230283912","","V003","1.53065092835911","","V003","1.45228885674885","","711AS","3.68421052631579",""
"541300","Inf","","541300","Inf","","523","6.5364238410596","","523","6.50617283950617","","523","6.27380952380952","","Total Value Added","1.50790560627187","","Total Value Added","1.44090544025024","","GFE","3.25",""
"541610","Inf","","541610","Inf","","711AS","3.54246575342466","","711AS","3.79768786127168","","711AS","4.01408450704225","","V002","1.09909677419355","","523","1.16146230007616","","23","3.1306990881459",""
"5419A0","Inf","","5419A0","Inf","","493","2.71428571428571","","GFE","2.59605911330049","","GFE","2.70769230769231","","523","1.06254295532646","","V002","1.0698726541555","","V003","1.98376197189946",""
"561300","136.333333333333","","561300","136.333333333333","","GFE","2.59090909090909","","493","2.57894736842105","","493","2.44736842105263","","ORE","1.02205882352941","","532RL","1.01603498542274","","523","1.70542635658915",""
"52A000","31.25","","52A000","31.25","","55","2.05752212389381","","55","1.95592663564194","","55","1.81813550687723","","532RL","1.0188679245283","","ORE","1.01333333333333","","521CI","1.67035398230089",""
"550000","10.1923076923077","","550000","10.1923076923077","","V003","1.86645989123046","","V003","1.86677109526361","","V003","1.81636001406305","","5412OP","1.01385281385281","","5412OP","1.0122230710466","","722","1.6392467789891",""
"T005","6.35263702171665","","T005","6.35263702171665","","521CI","1.86320754716981","","521CI","1.75360121304018","","521CI","1.8092050209205","","324","1.00749765698219","","324","1.00733390854185","","493","1.59090909090909",""
