index,allocated_emissions,emissions_source
481000,1500000000.0,Aviation Gasoline
481000,168186666303.40015,Jet Fuel
482000,30935423847.12709,Distillate Fuel Oil
483000,16600000000.000002,Residual Fuel
483000,7669599930.195018,Distillate Fuel Oil
484000,36254814795.96598,Motor Gasoline
484000,516393442.62295085,LPG
484000,80808701646.78291,Distillate Fuel Oil
485000,4120064971.9670563,Motor Gasoline
485000,114754098.36065573,LPG
485000,17268122894.38132,Distillate Fuel Oil
486000,71700000000.0,Natural Gas
48A000,2008686581.6450312,Distillate Fuel Oil
491000,1172926723.8765228,Distillate Fuel Oil
491000,425474593.2929172,Motor Gasoline
492000,20235186205.68465,Motor Gasoline
GSLGE,122290360167.6479,Distillate Fuel Oil
GSLGH,11134304407.81337,Distillate Fuel Oil
GSLGO,50583687788.842354,Motor Gasoline
GSLGO,139446538371.59543,Distillate Fuel Oil
S00102,475970264.7614876,Distillate Fuel Oil
S00203,25889382615.419487,Distillate Fuel Oil
S00500,10713333696.599825,Jet Fuel
S00600,2216784294.0406337,Motor Gasoline
