"Row.names","Greenhouse Gases_with_disagg","Greenhouse Gases_without_disagg","comp"
"211000/US",0.785084106047909,0.771966210014829,1.017
"331110/US",1.47456299594007,1.49632886516138,0.985
"331200/US",0.722983808655004,0.732790446682849,0.987
"331313/US",1.64585015698747,1.66512184622655,0.988
"331510/US",0.499262513383662,0.514371175003372,0.971
"33291A/US",0.264641166801699,0.268218213964048,0.987
"334111/US",0.0429500252216454,0.0423087233592798,1.015
"336370/US",0.645891568663903,0.652769907259181,0.989
"423600/US",0.116032689993664,0.114554031269415,1.013
"441000/US",0.122660166004926,0.121360828071027,1.011
"446000/US",0.131443382367744,0.129900786551992,1.012
"448000/US",0.146877618753737,0.145046097483049,1.013
"4B0000/US",0.12346304399784,0.122164325619464,1.011
"517A00/US",0.0800025054554265,0.0791187846336192,1.011
"524113/US",0.0540065354232529,0.0507230547853688,1.065
"5241XX/US",0.0356466091321602,0.0348899591575243,1.022
"524200/US",0.0274622880296751,0.0271455396021477,1.012
"531ORE/US",0.274099776183285,0.266900373122444,1.027
"533000/US",0.0599997437887237,0.0589329925136642,1.018
"541100/US",0.0495262780252326,0.0487116516790026,1.017
"541200/US",0.059538123274,0.0586227076616885,1.016
"541610/US",0.074003879406689,0.0731879631915628,1.011
"5416A0/US",0.0868726446300706,0.0854023706641999,1.017
"5419A0/US",0.0860956408487365,0.0850866547534509,1.012
"550000/US",0.0805748854920446,0.0795568952426054,1.013
"561100/US",0.0989682871435102,0.0976128676569557,1.014
"561500/US",0.0897287421890452,0.0882736242351374,1.016
"611B00/US",0.113100934485398,0.111775474141391,1.012
"621100/US",0.0865858121270331,0.0855750583534104,1.012
"621200/US",0.0637202553832338,0.063040451704883,1.011
"621300/US",0.107633513422787,0.106451966627774,1.011
"623A00/US",0.179973913355577,0.177993242278487,1.011
"624100/US",0.140505990079311,0.138872781728855,1.012
"711100/US",0.0915455301258534,0.0904013576320138,1.013
"711500/US",0.0355984783229189,0.0352233713496102,1.011
"812100/US",0.148354985184202,0.146463955566192,1.013
"812300/US",0.187575914997488,0.184885331023295,1.015
"812900/US",0.127543241541515,0.125987495023853,1.012
"813B00/US",0.139112439288735,0.143084697957538,0.972
"S00401/US",0.415423053989622,0.51298252529734,0.81
