"","1111A0/US","1111B0/US","111200/US","111300/US","111400/US","111900/US","112120/US","1121A0/US","112300/US","112A00/US","113000/US","114000/US","115000/US","211000/US","212100/US","212230/US","2122A0/US","212310/US","2123A0/US","213111/US","21311A/US","221100/US","221200/US","221300/US","233210/US","233262/US","230301/US","230302/US","2332A0/US","233412/US","2334A0/US","233230/US","2332D0/US","233240/US","233411/US","2332C0/US","321100/US","321200/US","321910/US","3219A0/US","327100/US","327200/US","327310/US","327320/US","327330/US","327390/US","327400/US","327910/US","327991/US","327992/US","327993/US","327999/US","331110/US","331200/US","331313/US","33131B/US","331410/US","331420/US","331490/US","331510/US","331520/US","332114/US","33211A/US","332119/US","332200/US","332310/US","332320/US","332410/US","332420/US","332430/US","332500/US","332600/US","332710/US","332720/US","332800/US","332913/US","33291A/US","332991/US","332996/US","33299A/US","332999/US","333111/US","333112/US","333120/US","333130/US","333242/US","33329A/US","333314/US","333316/US","333318/US","333414/US","333415/US","333413/US","333511/US","333514/US","333517/US","33351B/US","333611/US","333612/US","333613/US","333618/US","333912/US","333914/US","333920/US","333991/US","333993/US","333994/US","33399A/US","33399B/US","334111/US","334112/US","334118/US","334210/US","334220/US","334290/US","334413/US","334418/US","33441A/US","334510/US","334511/US","334512/US","334513/US","334514/US","334515/US","334516/US","334517/US","33451A/US","334300/US","334610/US","335110/US","335120/US","335210/US","335220/US","335311/US","335312/US","335313/US","335314/US","335911/US","335912/US","335920/US","335930/US","335991/US","335999/US","336111/US","336112/US","336120/US","336211/US","336212/US","336213/US","336214/US","336310/US","336320/US","336350/US","336360/US","336370/US","336390/US","3363A0/US","336411/US","336412/US","336413/US","336414/US","33641A/US","336500/US","336611/US","336612/US","336991/US","336992/US","336999/US","337110/US","337121/US","337122/US","337127/US","33712N/US","337215/US","33721A/US","337900/US","339112/US","339113/US","339114/US","339115/US","339116/US","339910/US","339920/US","339930/US","339940/US","339950/US","339990/US","311111/US","311119/US","311210/US","311221/US","311225/US","311224/US","311230/US","311300/US","311410/US","311420/US","311513/US","311514/US","31151A/US","311520/US","311615/US","31161A/US","311700/US","311810/US","3118A0/US","311910/US","311920/US","311930/US","311940/US","311990/US","312110/US","312120/US","312130/US","312140/US","312200/US","313100/US","313200/US","313300/US","314110/US","314120/US","314900/US","315000/US","316000/US","322110/US","322120/US","322130/US","322210/US","322220/US","322230/US","322291/US","322299/US","323110/US","323120/US","324110/US","324121/US","324122/US","324190/US","325110/US","325120/US","325130/US","325180/US","325190/US","325211/US","3252A0/US","325411/US","325412/US","325413/US","325414/US","325310/US","325320/US","325510/US","325520/US","325610/US","325620/US","325910/US","3259A0/US","326110/US","326120/US","326130/US","326140/US","326150/US","326160/US","326190/US","326210/US","326220/US","326290/US","423100/US","423400/US","423600/US","423800/US","423A00/US","424200/US","424400/US","424700/US","424A00/US","425000/US","4200ID/US","441000/US","445000/US","452000/US","444000/US","446000/US","447000/US","448000/US","454000/US","4B0000/US","481000/US","482000/US","483000/US","484000/US","485000/US","486000/US","48A000/US","492000/US","493000/US","511110/US","511120/US","511130/US","5111A0/US","511200/US","512100/US","512200/US","515100/US","515200/US","517110/US","517210/US","517A00/US","518200/US","519130/US","5191A0/US","522A00/US","52A000/US","523900/US","523A00/US","524113/US","5241XX/US","524200/US","525000/US","531HSO/US","531HST/US","531ORE/US","532100/US","532400/US","532A00/US","533000/US","541100/US","541511/US","541512/US","54151A/US","541200/US","541300/US","541610/US","5416A0/US","541700/US","541800/US","541400/US","541920/US","541940/US","5419A0/US","550000/US","561300/US","561700/US","561100/US","561200/US","561400/US","561500/US","561600/US","561900/US","562000/US","611100/US","611A00/US","611B00/US","621100/US","621200/US","621300/US","621400/US","621500/US","621600/US","621900/US","622000/US","623A00/US","623B00/US","624100/US","624400/US","624A00/US","711100/US","711200/US","711500/US","711A00/US","712000/US","713100/US","713200/US","713900/US","721000/US","722110/US","722211/US","722A00/US","811100/US","811200/US","811300/US","811400/US","812100/US","812200/US","812300/US","812900/US","813100/US","813A00/US","813B00/US","814000/US","S00500/US","S00600/US","491000/US","S00102/US","GSLGE/US","GSLGH/US","GSLGO/US","S00203/US","S00402/US","S00300/US","S00900/US"
"1111A0/US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1111B0/US",0,0,0,0,0,0,0,0,0,-6.85134367208601e-09,-2.70605325525947e-08,-1.43726274785729e-08,-2.1412073612434e-08,0,0,0,0,0,-2.08772449635585e-08,0,0,0,0,-6.10707144150444e-09,-5.56179213468617e-10,0,0,0,-5.33112973059676e-11,-5.4936163218881e-10,0,0,-1.85582724478394e-08,0,0,-2.14680783457717e-08,-2.39003078217935e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.99637861291731e-09,0,0,0,0,0,-1.42298522964879e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.14287350971853e-08,0,0,0,0,0,0,0,0,-4.22321765756199e-09,0,0,0,0,0,0,-1.50953954254397e-08,0,0,0,0,0,0,0,0,0,-5.80959971565199e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.85367432809047e-15,0,0,0,0,0,-1.46193820937945e-14,0,0,0,0,0,0,-2.27955072717239e-14,0,0,0,0,0,0,0,0,0,0,0,-1.2179100935083e-09,-3.70910401529832e-09,0,0,0,0,0,0,0,0,0,0,-3.99725296460357e-08,0,0,0,0,0,0,0,-6.68422986131789e-08,0,0,0,0,0,0,0,0,-2.70207330535304e-09,0,0,0,-6.68885317739198e-09,0,-7.62246242553505e-09,0,0,0,0,0,0,0,0,-1.66750232030909e-09,0,0,-7.18452480272157e-09,0,-1.79590554706986e-08,-5.38601493241025e-08,-4.64106641016023e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.64016717135993e-09,-2.39009824272564e-08,-1.47396020215793e-10,0,0,0,-6.09060096407281e-09,-4.51787971404203e-08,0,-1.45899849683271e-14,-1.34847211124113e-08,-1.5034815511577e-09,-4.02546737459019e-11,-9.93787769856477e-10,-5.29225952069969e-11,0,0,0,0,0,0,0,-6.04336111434636e-09,0,0,0,0,0,0,0,0,0,0,-4.29643883558483e-07,0,0,0,0
"111200/US",0,0,0,0,0,0,0,0,0,-1.8822372725557e-09,-7.43421223972487e-09,-3.94852403257479e-09,-5.88243780571293e-09,0,0,0,0,0,-5.73550685812066e-09,0,0,0,0,-1.67776687953418e-09,-1.52796487216623e-10,0,0,0,-2.28767097555614e-11,-1.50923525326589e-10,0,0,-5.09842649665901e-09,0,0,-5.89782372136593e-09,-6.56601863236091e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47153258596622e-09,0,0,0,0,0,-3.90930008193301e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.13976238758285e-09,0,0,0,0,0,0,0,0,-1.16022463119832e-09,0,0,0,0,0,0,-4.14708665534051e-09,0,0,0,0,0,0,0,0,0,-1.59604387792663e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.05345972031329e-13,0,0,0,0,0,-4.41973824346579e-12,0,0,0,0,0,0,-1.74213991761196e-11,0,0,0,0,0,0,0,0,0,0,0,-3.34590685029761e-10,-1.01898461958714e-09,0,0,0,0,0,0,0,0,0,0,-1.09814641884717e-08,0,0,0,0,0,0,0,-1.83632688497738e-08,0,0,0,0,0,0,0,0,-7.42348508188997e-10,0,0,0,-1.83759702675601e-09,0,-2.09408308393771e-09,0,0,0,0,0,0,0,0,-4.58105033051941e-10,0,0,-1.97377055019827e-09,0,-4.93380644799421e-09,-1.47967443198086e-08,-1.27501824454953e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5059537674724e-10,-6.56620396353214e-09,-4.04934121471961e-11,0,0,0,-1.67324202309689e-09,-1.24117574561593e-08,0,-1.33839368006002e-11,-3.70459371219854e-09,-4.13299502183062e-10,-3.7136626387436e-09,-1.87644220495976e-09,-1.32082904699292e-10,0,0,0,0,0,0,0,-1.66026404240277e-09,0,0,0,0,0,0,0,0,0,0,-1.1803403394464e-07,0,0,0,0
"111300/US",0,0,0,0,0,0,0,0,0,-7.45365959932035e-09,-2.94394804693106e-08,-1.56361551689965e-08,-2.32944537105695e-08,0,0,0,0,0,-2.27126071581575e-08,0,0,0,0,-6.6439568429554e-09,-6.05074089377886e-10,0,0,0,-6.49326248757522e-11,-5.97657160293325e-10,0,0,-2.01897689267696e-08,0,0,-2.33553819366087e-08,-2.60014337841501e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.78726904042653e-09,0,0,0,0,0,-1.5480828324475e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.24334590678732e-08,0,0,0,0,0,0,0,0,-4.59448953954532e-09,0,0,0,0,0,0,-1.64224631551496e-08,0,0,0,0,0,0,0,0,0,-6.32033375658911e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45418269040343e-13,0,0,0,0,0,-3.85015772980656e-12,0,0,0,0,0,0,-1.5565012614043e-11,0,0,0,0,0,0,0,0,0,0,0,-1.32497911271782e-09,-4.03517909356592e-09,0,0,0,0,0,0,0,0,0,0,-4.34865981863383e-08,0,0,0,0,0,0,0,-7.2718544645105e-08,0,0,0,0,0,0,0,0,-2.93963622606018e-09,0,0,0,-7.276884225954e-09,0,-8.29256901239339e-09,0,0,0,0,0,0,0,0,-1.81409593088568e-09,0,0,-7.816131378785e-09,0,-1.95378735340569e-08,-5.85951075064409e-08,-5.04907224841604e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.78435769191902e-09,-2.60021676955879e-08,-1.60353912102898e-10,0,0,0,-6.6260384114637e-09,-4.91505595263897e-08,0,-1.19903923148277e-11,-1.46701911003124e-08,-1.63588741416477e-09,-3.40592790629883e-09,-2.35685945830207e-09,-1.60050151951086e-10,0,0,0,0,0,0,0,-6.57464560791544e-09,0,0,0,0,0,0,0,0,0,0,-4.67414774420763e-07,0,0,0,0
"111400/US",0,0,0,0,0,0,0,0,0,-7.70964386838813e-08,-3.04505333339141e-07,-1.61731544374272e-07,-2.40944652521446e-07,0,0,0,0,0,-2.34926360908614e-07,0,0,0,0,-6.87213313857221e-08,-6.25854411639378e-09,0,0,0,-5.99392830757166e-10,-6.18182759737727e-09,0,0,-2.08831549303152e-07,0,0,-2.41574859627152e-07,-2.68944123181508e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01233974721181e-07,0,0,0,0,0,-1.60124931356284e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28604667474792e-07,0,0,0,0,0,0,0,0,-4.75228008938829e-08,0,0,0,0,0,0,-1.69864669402747e-07,0,0,0,0,0,0,0,0,0,-6.53739572398693e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.37048344588186e-08,-4.17376100183016e-08,0,0,0,0,0,0,0,0,0,0,-4.49800773159759e-07,0,0,0,0,0,0,0,-7.52159492086742e-07,0,0,0,0,0,0,0,0,-3.04057472499039e-08,0,0,0,-7.52679742159392e-08,0,-8.57736431180877e-08,0,0,0,0,0,0,0,0,-1.87639821536481e-08,0,0,-8.08456417361191e-08,0,-2.02088712109838e-07,-6.06074647339336e-07,-5.22247472967472e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.84563866315663e-08,-2.68951714346279e-07,-1.65861016154916e-09,0,0,0,-6.8535993266047e-08,-5.08385585404279e-07,0,0,-1.51740158451692e-07,-1.691829789438e-08,-4.52975669405294e-10,-1.1013783108522e-08,-5.91529567560059e-10,0,0,0,0,0,0,0,-6.8004415176822e-08,0,0,0,0,0,0,0,0,0,0,-4.83467403037232e-06,0,0,0,0
"111900/US",0,0,0,0,0,0,0,0,0,-1.63378195257519e-08,-6.45289622409027e-08,-3.42731886027499e-08,-5.10595601535112e-08,0,0,0,0,0,-4.97841995284604e-08,0,0,0,0,-1.45630165143564e-08,-1.32627350906702e-09,0,0,0,-1.27019769783623e-10,-1.31001619982037e-09,0,-8.93773607099461e-11,-4.42543419910057e-08,0,0,-5.11931099014319e-08,-5.6993041728894e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.14529028461869e-08,0,0,0,0,0,-3.39327247112734e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.72531375383744e-08,0,0,0,0,0,0,0,0,-4.26999499338748e-07,0,0,0,0,0,0,-3.59967121683547e-08,0,0,0,0,0,0,0,0,-2.03865353868042e-09,-1.38536608604017e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52073323443462e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9042471460584e-09,-8.84478649801923e-09,0,0,0,0,0,0,0,0,0,0,-9.53191091559239e-08,0,0,0,0,0,0,0,-1.59393173616036e-07,0,0,0,0,0,0,0,0,-6.44805679362699e-09,0,0,0,-1.59503421922418e-08,0,-1.81766411685794e-08,-3.41314811700202e-11,0,0,0,0,0,0,0,-3.97635168688333e-09,0,0,-1.71323283757207e-08,0,-4.28254399685901e-08,-1.28435740695936e-07,-1.10671583626896e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91116787016598e-09,-5.69946504034574e-08,-3.51482817437658e-10,0,0,0,-1.45237407604808e-08,-1.07734054719462e-07,0,0,-3.21558734218789e-08,-3.58522523738303e-09,-9.59919143173371e-11,-2.33397552202054e-09,-1.25353433750504e-10,0,0,0,0,0,0,0,-1.44110918880572e-08,0,0,0,0,0,0,0,0,0,0,-1.02453541463946e-06,0,0,0,0
"112120/US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1121A0/US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112300/US",0,0,0,0,0,0,0,0,0,-1.61119510530768e-08,-6.36368567720464e-08,-3.37993657188401e-08,-5.03536676168138e-08,0,0,0,0,0,-4.90959387055111e-08,0,0,0,0,-1.43616844888127e-08,-1.30793793057452e-09,0,0,0,-1.28930727790532e-10,-1.29190537679568e-09,0,0,-4.36425308114015e-08,0,0,-5.0485371054893e-08,-5.62051194930092e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.11563189358715e-08,0,0,0,0,0,-3.34636087014008e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68763660542454e-08,0,0,0,0,0,0,0,0,-9.93152284305771e-09,0,0,0,0,0,0,-3.54990617697173e-08,0,0,0,0,0,0,0,0,0,-1.36621355950508e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.62660927479144e-13,0,0,0,0,0,-1.75230890995387e-12,0,0,0,0,0,0,-6.12122709871392e-12,0,0,0,0,0,0,0,0,0,0,0,-2.86409626385468e-09,-8.72250834366872e-09,0,0,0,0,0,0,0,0,0,0,-9.40013334533091e-08,0,0,0,0,0,0,0,-1.57189581354066e-07,0,0,0,0,0,0,0,0,-6.35433417662013e-09,0,0,0,-1.57298305490321e-08,0,-1.79253511985069e-08,0,0,0,0,0,0,0,0,-3.92137908292466e-09,0,0,-1.68954759096969e-08,0,-4.22333831948301e-08,-1.26660131377562e-07,-1.09141561733441e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.85709642495631e-09,-5.62067059278353e-08,-3.46623607979992e-10,0,0,0,-1.43229517177096e-08,-1.06244643824725e-07,0,-4.63667093340337e-12,-3.17113221764542e-08,-3.53574201910007e-09,-1.28630739519326e-09,-3.15806753165872e-09,-1.69492527414691e-10,0,0,0,0,0,0,0,-1.42118602029686e-08,0,0,0,0,0,0,0,0,0,0,-1.01037133056611e-06,0,0,0,0
"112A00/US",0,0,0,0,0,0,0,0,0,-6.55018569939436e-09,-2.5871058594246e-08,-1.37408636333605e-08,-2.04708835646605e-08,0,0,0,0,0,-1.99595638662595e-08,0,0,0,0,-5.83862874077897e-09,-5.31731775513957e-10,0,0,0,-1.46594023788541e-10,-5.25213868136553e-10,0,0,-1.77425242083756e-08,0,0,-2.05244265503532e-08,-2.28497448406163e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.60093339916270e-09,0,0,0,0,0,-1.3604364285154e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.09263731155277e-08,0,0,0,0,0,0,0,0,-4.03758171657012e-09,0,0,0,0,0,0,-1.44318615605813e-08,0,0,0,0,0,0,0,0,0,-5.55423269518323e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.13215880783191e-12,0,0,0,0,0,-4.66055641514418e-11,0,0,0,0,0,0,-1.66470732665858e-10,0,0,0,0,0,0,0,0,0,0,0,-1.16437558390352e-09,-3.54606647616431e-09,0,0,0,0,0,0,0,0,0,0,-3.82154953758792e-08,0,0,0,0,0,0,0,-6.39041755972132e-08,0,0,0,0,0,0,0,0,-2.58351652040234e-09,0,0,0,-6.39483765311012e-09,0,-7.28740913209932e-09,0,0,0,0,0,0,0,0,-1.59420551502076e-09,0,0,-6.86872151468986e-09,0,-1.71696464390373e-08,-5.14926702329334e-08,-4.4370634910324e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.56807191108036e-09,-2.28503897930894e-08,-1.40917074272241e-10,0,0,0,-5.82288224037716e-09,-4.3192915947434e-08,0,-1.26444419171201e-10,-1.28919861184032e-08,-1.43966707066341e-09,-3.30214488973232e-08,-2.26902634966643e-08,-1.27389154693652e-09,0,0,0,0,0,0,0,-5.7777188675615e-09,0,0,0,0,0,0,0,0,0,0,-4.10758438127343e-07,0,0,0,0
