"","input","output","value"
"341","331110/US","332119/US",0.0126111725347354
"247","331110/US","332114/US",0.00403145181232611
"610","331200/US","332600/US",0.00324008727595257
"152","331313/US","33131B/US",0.00302673168202117
"868","331110/US","332999/US",0.00258225777340115
"1447","325211/US","326120/US",0.00217181771953379
"90","331110/US","331200/US",0.00208475968761121
"567","33131B/US","332430/US",0.00207104278998496
"570","332430/US","332430/US",0.00196412763686621
"351","332119/US","332119/US",0.00177764681680526
"385","423A00/US","332119/US",0.00170957399926223
"1292","322130/US","322210/US",0.00159751768813765
"870","33131B/US","332999/US",0.00155645310242969
"518","331110/US","332420/US",0.00153399243373353
"1331","322130/US","322230/US",0.00145076641645284
"442","331110/US","332310/US",0.00144055904759843
"609","331110/US","332600/US",0.00135796978800208
"370","336370/US","332119/US",0.00134436608914252
"183","331410/US","331410/US",0.00129249348463439
"153","33131B/US","33131B/US",0.00124721924915425
"91","331200/US","331200/US",0.0012143226594326
"344","33131B/US","332119/US",0.00112773681682302
"478","331110/US","332320/US",0.00107949586957895
"28","321100/US","321910/US",0.00102090246838893
"1182","331110/US","336370/US",0.00101736201867758
"625","332600/US","332600/US",0.0010130954925609
"884","332999/US","332999/US",0.00095012180799766
"303","331110/US","33211A/US",0.000930365521246201
"1332","322210/US","322230/US",0.000906865111574714
"710","331110/US","332720/US",0.000902736952140631
"405","531ORE/US","332119/US",0.000881411189105771
"336","221100/US","332119/US",0.000751961844154936
"306","33211A/US","33211A/US",0.000733882530854976
"358","332720/US","332119/US",0.000718689390238197
"163","423A00/US","33131B/US",0.000704696589176504
"249","33131B/US","332114/US",0.00069588554838429
"393","484000/US","332119/US",0.000668891991075397
"835","331110/US","332996/US",0.000662575999355125
"273","423A00/US","332114/US",0.000614569810046983
"261","332720/US","332114/US",0.000610221707249163
"1291","322120/US","322210/US",0.000608743441983473
"645","423A00/US","332600/US",0.000605108279068445
"1575","562000/US","562000/US",0.000596003587057234
"78","331110/US","331110/US",0.00058888190102041
"1065","333613/US","333613/US",0.000581443596948145
"357","332710/US","332119/US",0.000580547683232261
"711","331200/US","332720/US",0.000577935275145533
"905","423A00/US","332999/US",0.000577265823346051
"377","325510/US","332119/US",0.000576426455716646
"566","331313/US","332430/US",0.000559429710478565
"1330","322120/US","322230/US",0.000559238659257194
"882","332720/US","332999/US",0.000550128863565213
"305","331490/US","33211A/US",0.000537290663128132
"1122","336320/US","336320/US",0.000513870212897755
"565","331110/US","332430/US",0.000497199077712639
"722","332720/US","332720/US",0.000490594418690406
"202","331410/US","331490/US",0.00048961077242532
"118","423A00/US","331200/US",0.000487739717762815
"580","423A00/US","332430/US",0.000484144047482177
"1497","325180/US","326150/US",0.000482667461752073
"1431","325211/US","326110/US",0.000476556262390071
"353","332310/US","332119/US",0.000467322556363651
