"","Sum Intermediate Reqs","Sum Intermediate Reqs Scrap Adj","Rel_Diff"
"331110/US",0.750240760793467,0.552480188922734,0.357950521730635
"331510/US",0.58826185878607,0.439392043604906,0.338808627392957
"331313/US",0.826344404106008,0.659903593336942,0.252219888555876
"331200/US",0.666599116285747,0.627820001409679,0.0617678869564445
"322130/US",0.671377300034552,0.63680784431284,0.0542855368859584
"33291A/US",0.549253704077627,0.527838062215749,0.040572371329153
"331420/US",0.814520016996934,0.783669527377879,0.0393667082121718
"331490/US",0.679724914631333,0.654105307708307,0.0391674041184374
"322299/US",0.631751333829701,0.610395736947714,0.0349864777705956
"322230/US",0.704322256113907,0.681717808743431,0.0331580708037262
"33131B/US",0.757866123102784,0.733661502277709,0.032991537309685
"331520/US",0.592801475248255,0.576225066806742,0.0287672463354881
"322110/US",0.700981969491025,0.684507588488586,0.0240674921352084
"324190/US",0.710593079164245,0.696601135262888,0.0200860193776111
"331410/US",0.704414345297208,0.694750180060025,0.0139102738143192
"322120/US",0.664190847414599,0.655281902771199,0.0135955908529203
"322291/US",0.662867879523868,0.658541355148367,0.00656985979950507
"327200/US",0.548064031310998,0.545029073280618,0.00556843328028743
"333912/US",0.654842111663411,0.652621052669028,0.00340329044749414
"314900/US",0.56286508645428,0.561631620611647,0.00219621865536974
"335920/US",0.661871677007812,0.66045825779679,0.00214005835241849
"334512/US",0.263043022399238,0.262574036140319,0.00178611056071117
"3259A0/US",0.645261068524032,0.644413452900351,0.00131532887755049
"33399B/US",0.626778544431308,0.626069749991137,0.00113213334485735
"326210/US",0.649749527143843,0.649115705618443,0.000976438437576562
"33211A/US",0.651049524753044,0.65059364987127,0.000700706011908236
"335930/US",0.451998779333757,0.451710955094617,0.000637186758243739
"423A00/US",0.471016289984451,0.470723200869438,0.000622635796306765
"334513/US",0.246655487597673,0.246509286012329,0.000593087537225795
"233230/US",0.44805638959927,0.447813450648118,0.000542500344283048
"333914/US",0.594878322702423,0.594696118700297,0.000306381690407179
"33399A/US",0.591345754569017,0.591214630083265,0.00022178829663642
"326190/US",0.672257304801209,0.672124915948187,0.000196970607517758
"541700/US",0.437397762905298,0.43731447811394,0.000190445996017862
"326290/US",0.659799175880546,0.659694681126361,0.00015839866103914
"335314/US",0.519947593411972,0.519894027079485,0.000103033175410782
"334118/US",0.396047067014999,0.396020575268981,6.68948728250172e-05
"325910/US",0.682037519288725,0.682002631374489,5.11551020943228e-05
"316000/US",0.575182919074049,0.575159127398484,4.13653794765e-05
"325180/US",0.547847357837256,0.547825540558869,3.98252304284521e-05
"311514/US",0.731673068305881,0.73164417264508,3.94941446695928e-05
"541511/US",0.317529401396888,0.317518043650328,3.57703972645206e-05
"311300/US",0.72857973453948,0.728553930186423,3.54185901519697e-05
"314120/US",0.638286348276527,0.63826505550747,3.33603866811961e-05
"33451A/US",0.333968086061525,0.333957001774762,3.31907602001053e-05
"335999/US",0.574665103921281,0.574648430854118,2.90143786489006e-05
"333130/US",0.646886215929047,0.646869673782409,2.55726111584351e-05
"326220/US",0.614151331664214,0.614137355864897,2.27567972921352e-05
"313200/US",0.668632139428916,0.668616933522308,2.27423294946435e-05
"334511/US",0.272121480713993,0.272115417139352,2.22830984894482e-05
"333316/US",0.516080231691705,0.51607256892789,1.48482292533539e-05
"314110/US",0.633271989519848,0.633264094870161,1.24665992449767e-05
"325190/US",0.729875891743168,0.72986776287165,1.11374579501206e-05
"311420/US",0.748206850367879,0.748200473504174,8.52293460259155e-06
"335912/US",0.294293326361923,0.294291984779853,4.55867689134654e-06
"311940/US",0.695488254748212,0.695486514430737,2.50230225703369e-06
"334413/US",0.245249066489139,0.245248516419838,2.24290572205334e-06
"311230/US",0.707308617309972,0.707307421134281,1.69116802001684e-06
"31151A/US",0.799805247765573,0.799803900130662,1.68495666333505e-06
"325320/US",0.60695084085824,0.606950017276905,1.35691788801479e-06
"33441A/US",0.300841587924098,0.300841208376327,1.26162161458532e-06
"327991/US",0.554716701444748,0.5547160352429,1.20097816925947e-06
"3118A0/US",0.683337954285787,0.683337284179732,9.80637337021415e-07
"311920/US",0.754944134852439,0.754943578618708,7.36788479365179e-07
"325610/US",0.500499554587773,0.50049921320703,6.820804770738e-07
"325414/US",0.389210390487668,0.389210192482784,5.08735094477725e-07
"311990/US",0.753315115524599,0.753314871639746,3.23748890322367e-07
"334517/US",0.331701788048236,0.331701689298295,2.97707079279709e-07
"311410/US",0.714614864327321,0.714614691315858,2.42104542385375e-07
"339112/US",0.364014467394566,0.364014402381725,1.78599639241448e-07
"325310/US",0.57201284747093,0.572012746748763,1.76083779915151e-07
"325412/US",0.387054393022305,0.387054334123993,1.52170655617635e-07
"311930/US",0.509116625540427,0.50911655490874,1.38733825914242e-07
"339990/US",0.523213014715846,0.523212942944386,1.37174473751547e-07
"312110/US",0.703582549705727,0.70358245952722,1.28170487571113e-07
"424400/US",0.466955503870624,0.466955449884708,1.15612562244819e-07
"311520/US",0.746592920901849,0.746592848592516,9.68524319689095e-08
"325411/US",0.500714550799701,0.500714535756036,3.00443930423309e-08
"311513/US",0.830549425643204,0.830549403026222,2.72313505632895e-08
"334510/US",0.358590143907279,0.35859014041087,9.75043322078191e-09
"325620/US",0.464963799177938,0.464963796293758,6.20302191170139e-09
"311810/US",0.59348415518458,0.593484152094805,5.20616259172238e-09
"31161A/US",0.827888927163391,0.827888926601575,6.78613355213499e-10
"1111A0/US",0.537682742896474,0.537682742896474,0
"1111B0/US",0.830511092665408,0.830511092665408,0
"111200/US",0.566612434168706,0.566612434168706,0
"111300/US",0.391179417495366,0.391179417495366,0
"111400/US",0.48352123740992,0.48352123740992,0
"111900/US",0.658272567447647,0.658272567447647,0
"112120/US",0.750492497563262,0.750492497563262,0
"1121A0/US",0.689914767003084,0.689914767003084,0
"112300/US",0.869631735304679,0.869631735304679,0
"212100/US",0.479347315561917,0.479347315561917,0
"212230/US",0.480387836051124,0.480387836051124,0
"2122A0/US",0.565840041468815,0.565840041468815,0
"212310/US",0.449443561956842,0.449443561956842,0
"213111/US",0.487784811859079,0.487784811859079,0
"21311A/US",0.478801413630587,0.478801413630587,0
"221100/US",0.372644351176308,0.372644351176308,0
"221200/US",0.359588927421787,0.359588927421787,0
"233262/US",0.421062448248697,0.421062448248697,0
"230301/US",0.491575967843075,0.491575967843075,0
"230302/US",0.443753314592691,0.443753314592691,0
"2334A0/US",0.563488199873266,0.563488199873266,0
"233240/US",0.344187166368154,0.344187166368154,0
"233411/US",0.442175513643206,0.442175513643206,0
"327310/US",0.45610802928134,0.45610802928134,0
"327320/US",0.63629780629365,0.63629780629365,0
"327330/US",0.491630987048283,0.491630987048283,0
"327992/US",0.539811171030884,0.539811171030884,0
"327993/US",0.490705356569543,0.490705356569543,0
"327999/US",0.535896977717087,0.535896977717087,0
"334112/US",0.297436297464715,0.297436297464715,0
"334220/US",0.299443304127952,0.299443304127952,0
"334290/US",0.3253981390639,0.3253981390639,0
"334516/US",0.301736925653545,0.301736925653545,0
"335110/US",0.417971120084978,0.417971120084978,0
"335311/US",0.453992757119728,0.453992757119728,0
"335991/US",0.452923092368063,0.452923092368063,0
"336111/US",0.700823337627211,0.700823337627211,0
"336213/US",0.740783977550051,0.740783977550051,0
"336414/US",0.487255950953143,0.487255950953143,0
"339114/US",0.477071606426242,0.477071606426242,0
"339116/US",0.450002381225791,0.450002381225791,0
"311111/US",0.728639729951159,0.728639729951159,0
"311210/US",0.776589279223864,0.776589279223864,0
"311221/US",0.76563259216508,0.76563259216508,0
"311225/US",0.847563922611542,0.847563922611542,0
"311224/US",0.880414868122314,0.880414868122314,0
"311615/US",0.738821854222172,0.738821854222172,0
"311700/US",0.777217343609058,0.777217343609058,0
"312120/US",0.544860576061506,0.544860576061506,0
"312130/US",0.579348989342164,0.579348989342164,0
"312140/US",0.501281366792421,0.501281366792421,0
"313100/US",0.766312049433254,0.766312049433254,0
"324121/US",0.774236932708183,0.774236932708183,0
"325413/US",0.463219981767365,0.463219981767365,0
"423400/US",0.407148544728484,0.407148544728484,0
"423600/US",0.501634761451301,0.501634761451301,0
"424200/US",0.498581335646949,0.498581335646949,0
"424700/US",0.219507686735641,0.219507686735641,0
"425000/US",0.395160124752206,0.395160124752206,0
"441000/US",0.337904940731026,0.337904940731026,0
"452000/US",0.358276159623931,0.358276159623931,0
"446000/US",0.34269113578687,0.34269113578687,0
"447000/US",0.428432776986539,0.428432776986539,0
"448000/US",0.501774132739259,0.501774132739259,0
"454000/US",0.382437988498799,0.382437988498799,0
"481000/US",0.455443820530082,0.455443820530082,0
"482000/US",0.443187310367128,0.443187310367128,0
