"C","Name","inds"
"111400/US","Greenhouse crops, mushrooms, nurseries, and flowers","4B0000/US, GSLGE/US"
"112A00/US","Animal farms and aquaculture ponds (except cattle and poultry)","GSLGO/US"
"113000/US","Timber and raw forest products","GSLGO/US, S00600/US"
"115000/US","Agriculture and forestry support","424A00/US"
"211000/US","Unrefined oil and gas","213111/US, 21311A/US"
"2123A0/US","Sand, gravel, clay, phosphate, other nonmetallic minerals","GSLGO/US"
"213111/US","Well drilling","211000/US"
"21311A/US","Other support activities for mining","211000/US, 212100/US, 2122A0/US, 2123A0/US, 213111/US"
"221100/US","Electricity","221300/US"
"221200/US","Natural gas","221100/US, 221300/US, 486000/US"
"221300/US","Drinking water and wastewater treatment","221100/US"
"230301/US","Nonresidential building repair and maintanence","423100/US, 423400/US, 423600/US, 423800/US, 423A00/US, 424700/US, 425000/US"
"230302/US","Residential building repair and maintanence","444000/US, 454000/US, 4B0000/US, 531ORE/US"
"233210/US","Health care buildings","621100/US, 621200/US, 621300/US, 621400/US, 621500/US, 621600/US, 621900/US, 622000/US, 623A00/US, 623B00/US, 624100/US, 624400/US, 624A00/US, GSLGE/US, GSLGO/US, S00600/US"
"233230/US","Manufacturing buildings","311111/US, 311119/US, 311210/US, 311221/US, 311224/US, 311225/US, 311230/US, 311300/US, 311410/US, 311420/US, 311513/US, 311514/US, 31151A/US, 311520/US, 311615/US, 31161A/US, 311700/US, 311810/US, 3118A0/US, 311910/US, 311920/US, 311930/US, 311940/US, 311990/US, 312110/US, 312120/US, 312130/US, 312140/US, 312200/US, 313100/US, 313200/US, 313300/US, 314110/US, 314120/US, 314900/US, 315000/US, 316000/US, 321100/US, 321200/US, 321910/US, 3219A0/US, 322110/US, 322120/US, 322130/US, 322210/US, 322220/US, 322230/US, 322291/US, 322299/US, 323110/US, 323120/US, 324110/US, 324121/US, 324122/US, 324190/US, 325110/US, 325120/US, 325130/US, 325180/US, 325190/US, 325211/US, 3252A0/US, 325310/US, 325320/US, 325411/US, 325412/US, 325413/US, 325414/US, 325510/US, 325520/US, 325610/US, 325620/US, 325910/US, 3259A0/US, 326110/US, 326120/US, 326130/US, 326140/US, 326150/US, 326160/US, 326190/US, 326210/US, 326220/US, 326290/US, 327100/US, 327200/US, 327310/US, 327320/US, 327330/US, 327390/US, 327400/US, 327910/US, 327991/US, 327992/US, 327993/US, 327999/US, 331110/US, 331200/US, 331313/US, 331314/US, 33131B/US, 331410/US, 331420/US, 331490/US, 331510/US, 331520/US, 332114/US, 332119/US, 33211A/US, 332200/US, 332310/US, 332320/US, 332410/US, 332420/US, 332430/US, 332500/US, 332600/US, 332710/US, 332720/US, 332800/US, 332913/US, 33291A/US, 332991/US, 332996/US, 332999/US, 33299A/US, 333111/US, 333112/US, 333120/US, 333130/US, 333242/US, 33329A/US, 333314/US, 333316/US, 333318/US, 333413/US, 333414/US, 333415/US, 333511/US, 333514/US, 333517/US, 33351B/US, 333611/US, 333612/US, 333613/US, 333618/US, 333912/US, 333914/US, 333920/US, 333991/US, 333993/US, 333994/US, 33399A/US, 33399B/US, 334111/US, 334112/US, 334118/US, 334210/US, 334220/US, 334290/US, 334413/US, 334418/US, 33441A/US, 334510/US, 334511/US, 334513/US, 334514/US, 334515/US, 334516/US, 334517/US, 33451A/US, 335110/US, 335120/US, 335210/US, 335220/US, 335311/US, 335312/US, 335313/US, 335314/US, 335911/US, 335912/US, 335920/US, 335930/US, 335991/US, 335999/US, 336111/US, 336112/US, 336120/US, 336211/US, 336212/US, 336213/US, 336214/US, 336310/US, 336320/US, 336350/US, 336360/US, 336370/US, 336390/US, 3363A0/US, 336411/US, 336412/US, 336413/US, 336414/US, 33641A/US, 336500/US, 336611/US, 336612/US, 336991/US, 336992/US, 336999/US, 337110/US, 337121/US, 337122/US, 337127/US, 337215/US, 33721A/US, 337900/US, 339112/US, 339113/US, 339115/US, 339116/US, 339910/US, 339920/US, 339930/US, 339940/US, 339950/US, 339990/US"
